,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
additional,0.00021375135438266718,0.0004818142828397928,0.0004381412818670995,0.00024366706857190253,0.00011774455628020264
additive,2.0523522473898386e-06,1.271043523029464e-06,2.0372707107155186e-06,0.0005002002889834085,2.4044957003488146e-06
adds,0.000331581123106518,0.00030667741295301303,7.753808753236253e-05,6.171658988061346e-05,4.875508396317445e-05
adequate,2.062033866224056e-06,0.0002932275738075449,0.00022619369632201057,1.746708965082334e-05,0.00019208971069220417
adhesive,2.0850408188093798e-06,0.0005224841587160163,2.041826502099894e-06,1.7059305204659173e-06,0.000607056702301767
adjust,2.063915525845248e-06,0.000697237541015941,0.00014194650057380195,1.7028011661898375e-06,2.4244454048562914e-06
adjustable,2.0607081940501476e-06,0.0003869343693533522,2.1287560554456907e-06,1.724937682818441e-06,0.00014510333144610187
admit,0.0002149015294123939,7.306589207350416e-05,2.0928068051984155e-06,0.0001283020298913874,0.0001201235813836471
advantage,9.060119067061962e-05,9.16693981857738e-05,8.228976420335703e-05,0.0005635246230098821,0.00011782499691357766
advertised,0.0002562361529809282,0.0006596621332517935,0.0007777685605776927,0.00018227976739494794,0.0005793385269776396
aftermarket,2.0570027252977257e-06,0.0002862153446868205,2.6574908385706584e-05,0.00017448940030793798,2.455441876494635e-06
age,9.708148835137801e-05,8.161371194546878e-05,5.540157295340794e-05,0.00019079571536605421,0.00011442964346320951
agm,2.0454979405592593e-06,1.2639712885746717e-06,0.0006420103482041735,1.690966596003714e-06,2.397794416043992e-06
ago,0.0008775657252592055,0.000337417621320565,0.0005979999302496231,0.000977996643110733,0.0004450577031653663
agree,6.761094308118983e-05,0.00017021070121872952,0.00011899247081504394,8.800991924613179e-05,5.156910013647651e-05
ahead,4.356276916210398e-05,0.00027326487020126955,2.1019918645288608e-06,0.0002250912940623679,0.00021115891702276108
air,2.107888721909611e-06,2.563016900446777e-06,0.007159998497260325,0.004264293732910249,0.0008377310840064272
alcohol,2.210622478643617e-06,1.2893563781718734e-06,2.0407438109305374e-06,8.338749419397916e-05,0.0006173939223086181
alligator,2.0451784501988358e-06,1.266632448613072e-06,0.0008858091574821861,1.6909051913816854e-06,2.3980175094870923e-06
allow,0.00016667659492420318,0.00043180215402667917,0.0005795232092085271,0.00024724941559563793,0.000503479684725428
allowed,8.315711359008096e-05,0.00011719607859871729,0.00014388854773370394,6.736742806223169e-05,0.00024175780972749916
allowing,6.648565611962423e-05,0.00014466901851458547,0.00012381612824413515,9.703269736163623e-05,0.00021472581751166554
allows,0.00011931198166516406,0.0003580690293789705,0.0009483303971279279,0.00024595400521415983,0.000816994026082661
alot,0.00021546400262387118,0.0001941828359984938,0.00011226561071087305,0.00023003633624620894,0.0002984549823199989
alternative,4.66686400851272e-05,0.0001417766520361414,8.238863520175346e-05,0.00016336260504336056,0.0003180957405263784
aluminum,0.00010445032374925287,0.00040779208895587064,7.123986611647036e-05,8.116039467403681e-05,0.0012775206665177955
amazed,0.0004949166816389039,1.2784859754803521e-06,7.063728298697354e-05,9.624904728897371e-05,0.0002283621492891815
amazing,0.0014699818582732615,0.0002266126154579422,2.0919772126942807e-06,0.0003194233627115734,0.0005075451721885715
amazons,2.0884872231903646e-06,5.886260676317676e-05,0.00013362862474723225,0.00047979511933764614,1.8426268703194626e-05
amp,2.0469250142416714e-06,1.2723464564066663e-06,0.0013530790955954418,1.694721666337407e-06,2.4020471977788134e-06
amps,2.046456248474045e-06,1.272014063251393e-06,0.0011600760266867547,1.6917909298111065e-06,2.398475384533062e-06
anco,2.045793397967949e-06,1.2644574115409626e-06,2.0321146618543807e-06,0.0011339550148153988,2.400769697664393e-06
andor,0.00017045549239481556,4.859373709483141e-05,0.00018214432587721524,5.464174883825196e-05,0.00031447912087109915
angle,2.11596344316654e-06,0.0005462791575212394,0.0003122184621680503,4.768090705435229e-05,0.00011867743682468436
annoying,2.0694378686873755e-06,0.0002278022757283456,0.00017024986064970428,0.00028583206581988754,0.00026529671933946065
answer,2.1369172192134363e-06,9.519000538361619e-05,0.00012710084353438403,0.00023653254633624102,2.532110816676781e-06
antifreeze,2.0466419337248073e-06,1.2668405561909452e-06,0.0007232167105029607,1.7224603471964412e-06,2.418622280424411e-06
apart,2.0900844591887826e-06,0.0008176832884825311,2.0946401546455446e-06,0.00026745111054876154,0.0004727410262851943
app,2.045124678736296e-06,1.2663656147474825e-06,0.0008348791422270868,1.805930087973185e-06,2.397952475872746e-06
apparently,2.29703852362304e-05,9.943598051459568e-05,0.0002580754456641146,7.10569490631562e-05,5.024070421144598e-05
appear,0.0001542283748028955,0.0005285691223924405,2.0877089684378337e-06,0.00027664988685620595,0.00018292786778179298
appearance,0.0005904907104731571,0.00016272556352107676,2.059065371516307e-06,6.822964579613562e-05,2.450495678563237e-06
appears,0.00014383704807398304,0.0007936335278685502,0.00039236557175312216,0.0004376264893470879,0.000141793789893077
application,0.002304011362166811,0.00030315222040172904,0.00032800699469113636,0.0004145677126507453,0.0005671265186267487
applications,0.0004263097091183671,0.0001888374052586759,0.0005055676473602993,0.0001560163519895556,0.0005054515455769193
applicator,0.0019754823606752004,1.2661868017694478e-06,2.0346186177779515e-06,1.6964071425308176e-06,2.457102098553006e-06
applicators,0.0005644083659744354,1.2657639432206582e-06,2.031709098006144e-06,1.6919972781979524e-06,2.429063560168311e-06
applied,0.0037618117638348434,1.2894864651138902e-06,2.064894798396643e-06,1.7220067549026503e-06,0.000401529172184578
apply,0.006750929327427061,1.2775461205497871e-06,2.045882429239374e-06,1.7204254509222659e-06,0.001032962956875425
applying,0.0023816522677194267,1.2779897617309048e-06,2.0406179871009576e-06,1.7036359245811459e-06,0.0003653302616391108
area,0.0010634319347507923,0.0010372754707369267,0.00028138663231387206,0.00039973391105335487,0.0023219223361081362
areas,0.0008861165677085321,0.0001685399604061561,4.0502686756653606e-05,1.7514565227186949e-06,0.0021029909206903216
arent,7.076551129691051e-05,0.000647597596824443,0.00028378084914128764,0.00033435776416409005,0.0006114515303917116
arm,2.1077004696127335e-06,0.00025069146942494514,2.1336816198586653e-05,0.0016923154136183785,9.243989909037406e-05
armor,0.0007384268640309412,1.2696431347943404e-06,2.0345699687096627e-06,1.6927569313661764e-06,0.00012205739272928819
arms,1.817071478900271e-05,0.00018007841866312055,2.046612461033034e-06,0.0005432905085772142,2.4714293714245495e-06
ask,0.00015344616575777766,0.00021105800184971607,0.00018815779875356594,0.0003822140819563245,0.00012959859238541487
asked,0.00012674934738838946,0.00012237487605617784,6.740993416892158e-05,0.00047643697397206327,2.440957963060911e-06
assembly,2.1154101888254906e-06,0.000492181935617165,2.0965003267553097e-06,0.00034165682324405265,2.4733259771961565e-06
attach,2.118493511116823e-06,0.0008381459867386307,0.0009926560976145802,0.0001785788753739225,2.4537212246052743e-06
attached,8.925818526980764e-05,0.0006867048546441036,0.0011769312718109086,0.00019720331983064275,0.00019563675088584413
attaching,5.770184852795515e-05,0.0001593887660120664,0.00018499007083497257,7.741168423981878e-05,8.081913343449812e-05
attachment,0.00012933120474836166,0.00022978908684353447,0.0003874462324497357,0.000341764833627044,4.043486815916415e-05
attachments,2.071369698019422e-06,1.284432529422234e-06,0.0005713815231468941,7.312582791898595e-05,3.2277318817824154e-05
attention,0.00018504849395543487,0.00022404438441743897,0.00021001133686076987,6.864063437772431e-05,0.00011535656010087011
atv,2.0495462330718143e-06,1.2788008501723816e-06,0.0007536998324813045,1.7059468064526394e-06,2.4067821020935807e-06
audi,0.00014297127687947818,1.2820404870662384e-06,6.50845966968851e-05,0.0003312658229413643,2.4450608432508145e-06
auto,0.001151377184896311,0.00020316423454029672,0.0007408148678914081,0.002142458832064316,0.0008839278314162355
automatic,7.214795236535814e-05,1.279241808319537e-06,0.00037992152285551016,0.00018701292702921207,2.515037171511514e-06
automotive,0.00032633518026795743,0.00014458622962575826,0.0004883354152332989,0.0003735200327437343,0.00047837181882993604
autozone,2.1117840054707684e-06,1.2837849712647553e-06,2.0720306640391203e-06,0.00044414183107412114,6.980175383211696e-05
available,0.0005969692361184807,9.072665920220934e-05,0.0006187441342336129,0.000800543104119753,0.0004027272463347616
average,0.00018401364180403712,2.2168509417860578e-05,0.0002397961146761291,0.0005572642971270638,0.0003828018363888285
avoid,0.00027398276546065263,0.0002714202466722114,0.0002595426600036237,0.00033543252419346927,0.00033529781362090657
aware,0.00016639423727938082,0.000289093356164994,0.0002990483645361134,1.738560752040142e-06,0.0001114650265798181
away,0.0013100576449699725,0.0010074918920116006,0.0011492956601006814,0.0010657006237055678,0.0023020990868001198
awesome,0.0008131104727263262,0.000502123972788356,0.00021847345877954122,0.0004858774641761539,0.00037098623844802783
awhile,0.00017863062556599545,0.00014997306596921937,8.948337897987104e-05,1.7484637985070583e-06,0.0003088026431526196
backing,0.0006812465217134062,0.000516317499420228,2.0703726445237857e-06,1.7005332826409372e-06,2.434710504875142e-06
backup,2.0646272497217485e-06,0.0003300987613682057,0.0004278392635954294,1.6990368355635734e-06,2.431716608244834e-06
bad,0.0009883519274900758,0.0011001920888384538,0.0014639748621176907,0.0015279279130744206,0.0013204627398317442
bag,2.083462241683011e-06,0.002281384081530401,0.0005486903662449474,1.7053703610575582e-06,0.0007464767815101793
bags,2.070443675744142e-06,0.0006389524557764139,2.0553136302733635e-06,1.7036822287382417e-06,2.433405202999891e-06
ball,0.0003181616424658202,0.0012393669283636852,2.052799847146197e-06,1.7112377525137462e-06,2.430124659749411e-06
bar,0.0026949761027033952,0.0014007479318597946,2.0602227079272513e-06,1.7066780616765932e-06,2.4308919697086776e-06
barely,0.00013888522672218814,0.00045788446270859364,0.0001384828172933736,7.478796559052038e-05,0.0003406335394419091
bars,0.0004442116064396142,0.00037711940394321783,5.5175938396892695e-05,1.6956883192633178e-06,2.4172353189613573e-06
base,0.0001521312793945698,0.0008245402799500088,2.0668902683679498e-06,0.00034715910811462065,0.0001828061472292284
based,0.0006757240739975607,0.00020295522441131475,0.000211128102209961,0.0007289282254172715,0.0005001208478141471
basic,0.00018366625393149367,0.00021524709751374093,0.00035448075339245276,0.0002089950231521171,0.00019561860188746074
basically,0.0005125188280447342,0.00017871168814723387,0.00037547293137394646,0.00023383905466145338,0.00033488362591061827
bathroom,2.054751399141146e-06,9.648779809436353e-05,1.5896558593086552e-05,1.6926678953197444e-06,0.000632292692349143
batteries,2.0508585692606753e-06,1.2701113600957702e-06,0.007488784394186203,1.6953014394876207e-06,2.401712908758182e-06
battery,2.0468085659609967e-06,1.2684542653737048e-06,0.03152369457657333,1.6948033850887879e-06,2.399965220561584e-06
bead,0.0003945049824821698,0.0001818741042114764,2.0723177183683676e-06,1.7426232343203672e-06,2.464617272666695e-06
beads,0.0005950642589886121,1.2665215824585904e-06,2.032002909722744e-06,1.69987729255541e-06,2.4399466506233487e-06
beam,2.0518445367593627e-06,0.0006344941443185918,2.038438423485926e-06,0.0005147052365505017,2.4061256438608782e-06
beams,2.0615194978107456e-06,0.0004748066685824056,2.034530311903853e-06,1.7161765479102143e-06,2.3988567619236934e-06
beat,0.0002179069668744793,0.0005054980149318233,0.00022885483441690755,0.0003704615714295475,0.00024286941470813474
beats,0.0001886800756592244,0.00011872829445452346,6.550636344761786e-05,0.0001781641936589656,2.534600359663628e-06
beautiful,0.0006220916506243127,3.393031760152447e-05,2.105144366705283e-06,2.854136844884652e-05,2.4411849151420945e-06
bed,2.120954753841756e-06,0.0004517073833514319,3.458869556664897e-05,1.6925165146903836e-06,1.9785215846782994e-05
began,0.00014025976701699769,1.2920812828927867e-06,3.656417218506084e-05,0.0003565414563460084,9.928927929326914e-05
begin,0.0001334311907031879,0.0001158814435788523,0.00010618280950673948,0.000119183941813219,0.00015631152718432006
believe,0.0007520321068388632,0.0003007023209116914,0.0005045477655646771,0.0011262419138848739,0.0004659896876281045
belt,2.0672300832552714e-06,0.0003041401522865234,2.0482959238874335e-06,0.0002469647916234872,2.4251224924569973e-06
bend,2.0495461268025555e-06,0.0006064493880296103,2.060655635655745e-06,1.7214497376688558e-06,0.0002918552168319374
benefit,0.00012785823358068185,3.6935236400047925e-05,0.00013972012466846573,0.00019721180458119817,0.00019840534945755593
bent,2.055421571408728e-06,0.0003339296867186528,2.0648102654816365e-06,5.8772753318529585e-05,6.898989187596415e-05
best,0.004150346603266529,0.001122799668632917,0.001768423466398628,0.004244697446385859,0.003546252656800654
better,0.00582531506837572,0.0044206681778100115,0.00167242039165814,0.006760608901513522,0.005794991338629102
big,0.0009566202547174904,0.001957878706278806,0.0011349206500622993,0.001195011170808782,0.002363994566631538
bigger,0.0002013532671710857,0.0005262556126606349,0.00029506757037872644,7.858650777428866e-05,0.0005467813151078066
biggest,0.00012005432790677439,0.00011892283999616998,0.0001442981170505248,7.509453543567233e-05,7.591354503474825e-05
bike,2.0937558665656892e-06,0.0015841057777951993,0.0013574389029897644,0.0005005819217995356,0.00042013793467897273
bikes,2.1100485615142184e-06,0.00027037948455368093,0.0003067733299527627,0.00021773884778582267,6.000604457330127e-05
bird,0.0007075078869531503,1.263997866312352e-06,2.0326234615447677e-06,1.706608881231335e-06,2.476542639835415e-06
bit,0.0018898784719470977,0.003741476269148307,0.0013049575507327524,0.002010831078808931,0.003586271166940193
black,0.006906251408597813,0.0015134049922688755,0.0015105597761045045,0.0003790744807184196,0.0005676542969842749
blade,2.0511916475634533e-06,1.2697334110776215e-06,2.037938905459597e-06,0.009262604691896634,2.4338259286629286e-06
blades,2.0472553147676293e-06,1.2653205039365736e-06,2.033786766690473e-06,0.009575280372744863,2.403795119092934e-06
bleed,2.079660640878956e-06,5.349879830255018e-05,0.0007118433031888846,1.7185650191479783e-06,9.644644111495146e-05
block,4.677125990747171e-05,0.0006120275947281417,9.277350257769343e-05,0.00014502605785274305,2.4400137585757085e-06
blocks,2.0540652158476285e-06,0.0007084475145923901,2.041588558625966e-06,1.6936487729403072e-06,2.412384591593207e-06
blow,2.102032008935573e-06,0.00013272336995319192,0.0011707994160716274,5.1210140856438505e-05,0.00034112843030336917
blowing,4.7466865194933976e-05,7.104941443205243e-05,0.0005740639747249907,6.932640367526054e-05,5.2622941619195165e-05
blown,0.00013370007717698786,0.00012612714901557152,0.00022223227088211282,6.640642134194225e-05,2.5709893805429096e-06
blue,0.0007392343756205277,0.0015892650084666775,0.0004039337921441062,1.7128970616778732e-06,0.0006118681415484241
bluetooth,2.045099252671784e-06,1.2665444376149934e-06,0.0006114790219278554,1.7340864532459493e-06,2.3982455030967906e-06
bmw,0.0003700392696560583,5.76576148926884e-05,0.0002167105996116515,0.001156292042935749,0.00014988003897168235
board,2.0991612395478497e-06,0.00020581370909010196,0.00014237887589663416,2.1033964203981736e-05,0.00027201960358322715
boat,0.00015126344093466511,0.00034389227297244054,0.0010599052472474444,1.7282888781025148e-06,2.4364591288942227e-06
body,0.0005087937797085759,0.000487621612754918,2.088597096352455e-06,0.0002575983805006387,0.0007470370136328689
bolt,2.0527512317538626e-06,0.0008995023271988825,4.624594877613245e-05,0.00018244250444184458,2.4177407329391915e-06
bolts,2.0520799111152027e-06,0.0014661156162600227,2.0619499872211606e-06,1.7419915460925424e-06,2.424253138725658e-06
bosch,2.052530727797207e-06,1.2665179843022388e-06,4.560599511119964e-05,0.0033284438354775894,2.401309469165046e-06
bother,0.00012111439161812963,0.00020570661223107226,7.01870791745232e-05,1.7560283206579672e-06,6.545316617509193e-05
bottle,0.005956317267197227,1.2733115639686642e-06,2.0498927972854256e-06,0.0012212485603848504,0.0006659940557391107
bottles,0.0014246952871296568,1.27364677820496e-06,2.0501399133516266e-06,0.0004568131533804751,2.462623267612455e-06
bought,0.002625174155885599,0.0057450209398192285,0.004326430285708822,0.004207512291224775,0.0026320487198331867
boy,0.00014683027134307404,0.00016859499510998678,0.00016887470233150877,1.729350665370604e-06,0.00010921092249427321
bracket,2.0476154180150957e-06,0.0008207820533080841,2.0643274987758694e-06,0.00018090152319743532,2.4058099514836275e-06
brackets,2.05164809159455e-06,0.00037386710265564224,2.1721406719003807e-05,6.971940953258764e-05,2.40845211694117e-06
brake,2.0834488434758844e-06,0.0007410797407141054,0.0013253826221340816,1.746116745112219e-06,0.002550046486673897
brakes,0.00015127656912501515,0.00019525804405854654,0.001034815451416218,1.7396794935537676e-06,2.512362537372191e-06
brand,0.0024049641727614157,0.0004714214524642924,0.0005701354684690857,0.0025450660663093095,0.00029752668485993157
brands,0.0008865433741943101,1.2898322170080652e-06,0.0001557542122387606,0.0009898467379806557,0.00016323060990458
brass,2.0612990767635707e-06,1.2860960993342714e-06,0.0003258643548630968,4.5598982127423685e-05,0.0006247052384378827
break,0.000106757456442318,0.001247255382569457,2.086418371134173e-06,0.0004781777891143404,0.0004702838534886389
breaking,2.0944050903933526e-06,0.0003512416152854252,2.0612172687772202e-05,0.0001276626242628235,3.6338483125851164e-05
breeze,0.000154772821696471,0.00044432483994813254,0.00018946944770905044,0.00037216508087702506,0.00010548374975242478
bright,6.066897270386373e-05,0.004310682509336408,6.0777902560391426e-05,1.6998987840122168e-06,2.424420956800218e-06
brighter,2.0765595560010444e-06,0.0018260749229842051,2.0386258063643276e-06,1.6968844662126703e-06,2.408478441840287e-06
brightness,2.072137154860993e-06,0.0005000554717972712,2.059030586846974e-06,1.698429930437014e-06,2.3989894285546787e-06
bring,0.000665417876382651,8.979728328425606e-05,0.0005766353143156817,6.121740919192718e-05,0.0001881182819154909
bristles,2.052111254405376e-06,1.2669457922691695e-06,2.032913324060961e-06,1.692784934802086e-06,0.0017163558160232693
broke,7.717327437821034e-05,0.0006349406042399861,2.0861932452146483e-06,0.00032022313272114735,6.945846904361375e-05
broken,2.070465180378268e-06,0.0006827274698502048,1.0300526351922107e-05,0.00028531646775306504,7.064741310241346e-05
brought,0.0002675212099457315,2.465662091311247e-05,0.0001793719611142546,0.0001723449776136151,0.0001663515168366422
brush,2.060562381459324e-06,1.2733274160359526e-06,2.0378684378936297e-06,1.6936243820292626e-06,0.007661320575353873
brushes,2.062898873242462e-06,1.270802291925125e-06,2.0387477521302415e-06,1.6950989824197753e-06,0.001392707069326163
bucket,2.0878085428916818e-06,1.2681980850392622e-06,2.040384240120387e-06,1.6958544576024158e-06,0.003406306749627485
bucks,0.00041263696336189863,0.00054930949481416,0.00018504825306121683,0.0007793032419181432,2.4964553470000064e-06
buff,0.0020982099531752173,1.2642448065299671e-06,2.032014811033222e-06,1.6936173297272678e-06,2.4412710298182644e-06
buffer,0.0015255994423162263,1.2700394917014283e-06,2.0387847223231775e-06,1.6919770798577875e-06,2.409882462365919e-06
buffing,0.0014028691802523085,1.264956796206788e-06,2.033636138850883e-06,1.692338107224326e-06,2.4547691163519337e-06
bug,0.0009678149343204193,1.2855731090929904e-06,2.043685097029042e-06,4.853657313480886e-05,2.4341961976328602e-06
bugs,0.0005838366885469377,1.2911648017654323e-06,2.1147133602217808e-06,1.7239439804032868e-06,0.0010102496057101818
build,9.91769066280325e-05,0.0003378638672009,0.0005204664461377783,0.00024101571798380343,0.0002761006693539612
built,2.1115347889136597e-06,0.001418320385262487,0.0014972514624025694,0.00040231418492851176,0.00021781694880081788
bulb,2.047790227978449e-06,0.0030258001177393547,2.064496417041167e-06,1.6991861403966567e-06,2.4106191474310406e-06
bulbs,2.048564792390721e-06,0.005987239481296388,2.0585918366916974e-06,1.6972416396875894e-06,2.401280837157973e-06
bulky,2.0496495846806974e-06,0.00011773959937925858,0.0002909853640988137,7.344453452518896e-05,6.971776468413152e-05
bumper,0.00019047923874550402,0.0016528625311045728,2.0499279043707256e-06,1.7083013008043229e-06,2.458095695091534e-06
bunch,2.7401068927701306e-05,0.00021946407035326718,0.0001259003055910197,0.00016743463157475777,0.0003997886317432495
burn,0.00010060834686244114,0.00035378632875588724,8.842382954030154e-05,0.00019624199306332015,2.433613561763175e-06
business,0.00022902970962061482,7.18562478687393e-05,8.535685800560091e-05,0.000133322294794101,8.439656032569196e-05
button,2.056881564572369e-06,0.00017978921536176406,0.0015355504093727767,1.734530079371709e-06,4.7471194816065244e-05
buying,0.0008674890589070399,0.0009273566399130113,0.00048392886144664785,0.0017715086190824897,0.0005514579574581955
cabin,1.265832845765661e-05,1.284098531381509e-06,2.0690371200501193e-06,0.001260315226093787,2.4143999835707945e-06
cable,0.0002632427438957449,1.2904451793408501e-06,0.004100447439413194,1.7086608751941943e-06,2.4051426786951753e-06
cables,2.0469799186506613e-06,1.278051033489575e-06,0.002958105449660144,1.6943496608473692e-06,2.402687890781789e-06
california,0.0005902141677231653,1.2747811428187504e-06,2.0427844899222585e-06,0.0001999917105478717,2.4980873078123114e-06
caliper,0.0004417954670286445,0.00014007364684555298,2.053432204892874e-06,1.7000846053177256e-06,2.4886947240522623e-06
calipers,0.00047232309775639664,1.2775310773433302e-06,2.0432319639578687e-06,1.691952221899811e-06,0.00019423348672410206
called,0.00032068747796656824,9.063979520657588e-05,0.00017266941703329852,0.000431683652314103,0.00017017372305748126
camco,2.0492747029022522e-06,0.0005314075625777732,0.00040874827326157814,1.6967412165473362e-06,2.4308781449615046e-06
came,0.0012232704121183592,0.0024676936308228024,0.0011853090390385706,0.0016227573108693154,0.00066920734763311
camp,2.051550494150726e-06,0.00016976879544879618,0.0002997533100020292,1.695850856563916e-06,2.4536288573355293e-06
camper,2.061362427939057e-06,0.0019510822183352679,0.0006643895390001323,1.7043337692944675e-06,2.424369710572843e-06
camping,2.0487111692534227e-06,0.0005356277572249642,0.001052071469664378,1.7069164085109006e-06,2.450658939522216e-06
camry,5.3619456815027364e-05,0.00012018747608603558,2.059710425707795e-06,0.0005096619081620547,2.431820011638687e-06
cap,2.121752859167371e-06,0.0007633818158610372,0.0005188723738316584,0.0024611393205719477,0.00011448448762074135
capacity,1.892086808950301e-05,0.00016038845695425007,0.0006303540196965844,0.00020690903117411564,2.5160583893647706e-06
caps,2.0511238135412295e-06,0.0011160364949838917,2.0780525749672703e-06,8.996496002123836e-05,2.4181007884957685e-06
car,0.03236422162045062,0.0009793942103637993,0.010971805357819112,0.010037142808988096,0.016647080179555594
care,0.0018891910120174915,0.00036460143106919064,0.00015797824162575459,0.00034555659369708776,0.0017985646736800754
careful,0.00028691324499725607,0.0005962924869793775,0.0002615818655135253,0.00023049547376912654,0.000748855881440949
carefully,0.0001602169437726321,0.00023011632423462717,2.0915428140779053e-06,0.00014465581293479513,0.00016256119381098018
cargo,2.0463666302238834e-06,0.0006584539322010009,2.0371463466967834e-06,1.6953984670081901e-06,2.5406555291749313e-05
carnauba,0.0013313440735972944,1.2630782603177042e-06,2.031997581204458e-06,1.6905657026959295e-06,2.400918077792027e-06
carpet,2.058715943284604e-06,1.278758285251036e-06,2.0608939145615237e-06,1.6952184424613006e-06,0.0016563598127008101
carrier,2.049482676200352e-06,1.4722177737775996e-06,2.0510024691453855e-06,1.7096719208579382e-06,0.0008169833562676617
carry,0.00016767533524456987,0.0007237479677747315,0.001081503895338493,7.02435854438819e-05,2.469408705182505e-06
carrying,2.081748480980282e-06,0.00024662834929933293,0.0005040439278862895,1.7310888315093991e-06,7.089616629833599e-05
cars,0.0053660459904991235,9.95659042116944e-05,0.0032168112409594186,0.004484271213007205,0.003189394088889583
case,0.00043369712997865217,0.0014612594735318237,0.002271938619445526,0.001134213319235978,0.000614725972872692
cases,0.00015935674063257698,0.00010725544372049314,0.00014003172940946145,0.0001816128572023403,7.373326631580641e-05
catch,3.5962598930903535e-05,0.00014674166995199306,5.729442813708717e-05,0.00020143043485204372,0.000164985650511608
cause,0.00023104738189178394,0.0005633607316767379,0.00026020058388835323,0.000609431291625178,0.00041288167298597606
caused,0.0001252189788470392,8.668979725637918e-05,0.00019067988353745795,0.00013198114342875898,0.00013945668762329184
causing,8.367867848698503e-05,0.00014533945820637066,0.0001528640239101043,0.00020741814099132721,2.4468292444430937e-06
cell,2.0595132817290393e-06,1.2716603699266784e-06,0.0014850956206917108,1.6969748409226019e-06,2.4365730790504056e-06
center,7.635582662635684e-05,0.000665178383850998,6.240027885132724e-05,0.00018071785546386427,0.00030754349805381
certain,0.00020067174168057807,0.00019155052236260382,0.0002547015093910299,0.0003430172293073437,0.0002801311435831856
certainly,0.00038430654113436676,0.0004448240481132614,0.00027957712834783137,0.0003711257133391828,0.00030596366978739365
chain,2.0720850940356257e-06,0.0003394985998908324,0.0001281876083740725,4.9791098278517186e-05,3.0201433891309886e-05
chamois,2.06657210229138e-06,1.2632230521609742e-06,2.031849245308317e-06,1.6921569055832264e-06,0.0012488989678024474
chance,0.00022182274424458593,0.00046623106587453646,0.0003585870381907526,0.00031159427617824466,0.00032714931845143313
