,asin,Category,Clean_Reviews,predicted
45,B00008RW9V,Auto,dash black car anthracite gray shows dust easily california duster created either exteriors interiors cars impregnated paraffin wax picks dust soft fibers float uneven surfaces car interior picking one swipei keep car week swipe interior keep car sparkling clean small enough keep handy seatthis makes really nice gift someone congratulate new car someone likes detailing,Topic 3
46,B00008RW9V,Auto,bought evo x gsr left red lint dash using house im sure fine wont notice but brush leave red fibers behind,Topic 5
47,B00008RW9V,Auto,ive california duster past vehicles loved sucked dust dirt held without scratching finish gotten away superanal car care last years but recent purchase brand new subaru xv crosstrek automotive wishlist growing another california duster towards top really want listi still old original california duster works great fine wine got better age but mostly interested smaller one interior dark greycharcoal colored interior patterned almost feels sticky touch lack water word using microfiber cloth didnt really clean dust well another duster picked works ok radio console steering wheel but not dash itselfdespite negative reviews decided give go recent price drop picked figured didnt much loseput porch two days stack newspapers suggested gave bunch really good shakes ran fingers thru fibers times trying get lose ones seemed trick havent issues stray red fibers place pad falling apart ive read previous reviewsshortly went car cleaned outside inside shook bunch seemed work great dash pita since bought car afterwards brought inside dust entire first floor house included behind tv entertainment center top refrigerator places normally buried dust worked charm sucked didnt let goso id say big brother original works charm anyone issues red fibers place id recommend following steps listed worked great great little duster paid less bucks imo u cant beat,Topic 4
48,B00009RAX7,Auto,cracked air intake hose caused check engine light go but couple days fixed wasnt sure reason didnt want take dealer clear codethis trick easy gave code could check found knew cracked hose cleared message using unit never came back taken mechanic dealer theyd probably told problem wouldnt know telling truth not,Topic 5
49,B00009RAX7,Auto,scanner works say everything need scan auto worth every penny,Topic 5
50,B00009RAX7,Auto,purchased acton scanner years ago older vehicle repeatedly showing mil malfunction indicator lamp able clear code immediately mil illuminated later able track problem o2 sensor heater troubleand correct reseating connector later scanner diagnose cylinder misfiring tapping cylinders fuel injector able correct misfiring acton cleared mil displaymy mechanic uses sophisticated much expensive obd scanner day day work but someone occasional maintenance car tool worth investment paid paid much,Topic 1
51,B00009RAX7,Auto,actron seems company makeshigh quality diagnostic equipment autoscannertool affordable excellent value formoney works well pretty ruggedas hoped problem fixingthe vehicle based diagnosed code isnot always helpful sorry repairing car based thesecodes requires good understanding auto repairfor example code pm001 cylinder misfire novicedo helpful information lol relatively easy usei give full marks quality thephysical device otherwise,Topic 1
52,B00009RAX7,Auto,take car mechanics would hook diagnostic machine diagnosed car didnt services fee otherwise services free diagnostic but pay repair selfdiagnose car instantly know wrong shopping around repair actron cp9135 today air conditioner not blowing forgotten purchased month ago called husband ask take car mechanic told go home hook see tell wrong air dozen tries get air went inside got actron cp9135 hooked turned car air worked fine no error codes reported not sure true but husband said maybe reset cars computer knows but save trip mechanic gives peace mind know going car going keep glove compartment future problemsupdate dec car shuddering bit low speeds stops immediately plugged found 6th cylinder spark plus not firing took mechanic spark plugs replaced saved dealers diagnosis fee,Topic 2
53,B00009RAX7,Auto,ever felt auto mechanic mr wizard way bad attitude find doodad sitting somewhere eyesight tells crystal ballwell reasonable price get crystal ball might able predict future track flying monkeys but tell quickly check engine light come big small know might waiting go see mr wizard sometimes might even able track problem cut cost fix iti would not go oz without mine,Topic 1
54,B00009W3G7,Auto,cheap feels cheap but works thats matters one floor two ceiling months,Topic 4
55,B00009W3G7,Auto,price right delivered time however not durable imagined little smaller looked picture also little flimsy extended supposed maximum size would not vents larger not adequate intended purpose however vents not wide would acceptable,Topic 1
56,B00009W3G7,Auto,two vents directly living room sofa although lived blowing directly long time suggestion friend search diffusers really glad didthe diffusers work great redirecting air flow either room towards windows magnets hold perfectly ceiling vents diffusers appear pretty sturdy far nothing fallen crack headthe diffusers adjustable get fit even vent lever screws may get way doi pleased would recommend absolutely helps,Topic 1
57,B00009W3G7,Auto,air deflector makes air go side thats pieces no printed instructions see assemble pieces fit together grooves slide adjust pullingpushing get fit vent magnets hold vent magnets arent strong but barely strong enough hold ceilingtheres nothing good look deflector kind disappears since transparent plasticif fit vent get one see order later,Topic 1
58,B00009W3G7,Auto,air deflector installed beneath chest drawers bedroom successful getting air stream main bedroom quickly fact expanded cover wide vents plus,Topic 2
59,B00009W3G7,Auto,great job balancing temperatures throughout home correcting direction air flow magnets super strong materials super clear,Topic 3
60,B00009W3G7,Auto,deflector good job navigating air direction desired magnets reliably hold place vertical vent wall happy happy enough order another one,Topic 1
61,B00009W3G7,Auto,purchased parents ceiling vent pleased overall sturdy easy install serves purpose purchase said magnet held well also,Topic 5
62,B00009W3G7,Auto,put ceiling vent bedroom job magnets seemed stronger one put living room purchased locally vents size required deflector pulled max length put right edge not holding together but job several days expect no problems,Topic 1
63,B00009W3G7,Auto,five stars price exactly supposed also seems unbreakable survived shipping didnt pack well guess taking manufacturer word claim unbreakable purchased two came boxes utterly smashed heavier items unscathed anyway although one two halves come apart slid back together easily no big deali using standard hvac registers new house two places ended needing place furniture top register wanted something direct airflow furniture instead blowing air bottom well magnets held place slide sides apart width need done would recommend rearrange things need cover registers,Topic 1
64,B00009W3G7,Auto,ordered two models deflecto vents outstanding heavy duty plastic large strong magnets side work perfectly would recommend anyone especially since impossible find locally try asking one local home depotlowes theyre never even heard,Topic 4
65,B00009W3G7,Auto,bought first air deflectors model years ago lowes x floor registers ive stepped timetotime never broken however break one recently moved sofa not deflector but one little tabs hold together center im back another wasted lot money prior purchasing unbreakable ones type dont flex break easily magnets strong lift cleaning pull entire metal register floor magnets strong enough hold tight registers several coats paint,Topic 1
66,B0000ATZD5,Auto,im using secure spare tire utility trailer nice thick cable not long bicycle cable lock tubular locks not favorite but overall device seems pretty good deterrent casual thief notice ring one end cable drilled way center maybe not best quality control see pic posted im pretty happy overall would recommend without hesitation,Topic 1
67,B0000ATZD5,Auto,wrangler spare held three lug nuts holes covered inside mount cant get cable thru way drill hole thru one two holes thru mount takes simplicity using cable lock obviously but youre willing takes extra minutes lock works great ill probably also add locking lug nut mine added theft deterrence cable lock isnt foolproof but gives another level price not,Topic 5
68,B0000ATZD5,Auto,added spare boat trailer plenty long built well not much else say,Topic 5
69,B0000ATZD5,Auto,works perfectly sets mind ease light fingered individuals ready lift battery propane tank whatever else get hands,Topic 1
70,B0000ATZD5,Auto,perfect secure spare tire tire carrier bumper easy sturdy not eyesore seems well made highly recommend keep thieves honest wont guarentee determined thief wont steal expensive wheeltire but thief sees steel cable wrapped wheel wont much snatch grab piece mind run x wheels wheeltire x smitybilt tire carrier cable plenty long enough,Topic 1
71,B0000ATZD5,Auto,lock suffice keep honest people honest far easy cut cable however good deterrent still would recommend deterrent aspect,Topic 4
72,B0000ATZD5,Auto,looking perfect size spare 4runner looped spaces wheel locked back nice added security,Topic 4
73,B0000ATZDE,Auto,lock appears nearly identical old masterlock design one built rust inside lock mechanism probably mms shorter masterlock barely clears curt hitch holes may want try one,Topic 4
74,B0000ATZDE,Auto,nice stainless steel design mine bit longer necessary put orings pin keep rattling rubber cap covering key hole could better design fit securely but id,Topic 1
75,B0000ATZDE,Auto,considering made china quality bad locks keyed number,Topic 1
76,B0000ATZDE,Auto,far lock live four corners area nm hope not rusting problems reviewers wet slushy climates,Topic 4
77,B0000ATZDE,Auto,man hard come title mixed reviewit works metal strong rustresistance not grade rustproof stainless already spots roadsalt but given narrow space fits difficult get locking end hard get good grip even knurling ends but ends small enough theres no interference hardware hitch truck wide enough outside theres almost endplay lock shaft makes getting end even difficult takes getting dont think theres better though makes worth price,Topic 1
78,B0000AXNMO,Auto,well road miles go maine every year florida driving night cleaner windshield nice mix distilled water glass cleaner interstate rarely need windshield wipers clean windshield well heading,Topic 2
79,B0000AXNMO,Auto,although treatment good job treating windows found removal not easy work removing residual haze usually wait two days remove haze entirely,Topic 3
80,B0000AXNMO,Auto,using since 70sthey simply works read instructionbut may require frequent application depending weather wipers usagethe coating wear sun,Topic 5
81,B0000AXNMO,Auto,really appreciate rain x light drizzle mist water seems disperse minimal windshield wiper apply cold weather though helps prevent ice sticking windshield great also back window doesnt wiper keeps window clearer follow directionslet dry light haze wipe microfiber paper towel windshield clear im sure youll,Topic 3
82,B0000AXNMO,Auto,original really great stuff works well rain hits youll happy applied rain sheets dont even need wipers onthis package includes lot huge improvement small singleuse packages make maybe still much better valuethe downside seal theres little spout bottle top goes flip dispense seems pretty flimsy doesnt seem seal well closed feeling going evaporate bottle point spill bottle ever turned side great,Topic 3
83,B0000AXNMO,Auto,applied windshield car noticed wiper blades although new left streaking glass could bit challenge see outside especially rains hard raindrops magnify lights cars streetlights application wiper blades no longer left streaks became much easier clearly see outside water beaded blew away times may look no rain glass driving rain nightit works well purchased another bottle first one began run,Topic 3
84,B0000AXNMO,Auto,cant say enough quality benefit rainx treatment windshields cars bikes love,Topic 5
85,B0000AXNMO,Auto,windshield bathroom shower doorit works week amount time took apply polish last longermake sure wear filter applying indoors stuff stinks,Topic 3
86,B0000AXNMO,Auto,takes time put right but worth effort done not believe results get rain storm windshield glass slick heaviest rain slides right without using wipers visibility improved dramatically see going around youi often but especially going long vacation drive improves driving safety inclement weather helps keep family safer outside windows vehicles good rain sleet snow even reduces amount bugs stick windows treatment lasts months recommended glassthe see better response time stop case emergency strongly recommend great job,Topic 4
87,B0000AXNMO,Auto,first purchase rainx seems work pretty well wish lasted longer weeks application seems wearing unevenly also difficult get good buffing windshield first application rained wipers seemed even though,Topic 1
88,B0000AXNMO,Auto,great stuff starts rain dont need often cal but rain helps lot visibility especially havent gotten around buying new wiper blades rest year,Topic 4
89,B0000AXNMO,Auto,recommended us way ease keeping windshield clean pulling trailer however first lot us expected first time rained rainx crosscountry trip last week amazingly almost completely eliminated need windshield wipes even downpours water drops still land windshield but immediately rolls whenever car moving leaving clear view windshield much clearer even wipers high flown small planes effect much planes dont even wipers air speeds wind pushes raindrops windshield nicely itselfthe time needed wipers several days rain snow driving passing trucks covered windshield clouds tiny droplets hard see througha week later im noticing windshield no longer clears speeds mph may due another treatment but still stays nicely clear highway speeds easy clear lower speeds single pass wipers,Topic 1
90,B0000AXNMO,Auto,fairly easy apply works really well never glass treatment compare againsts but job,Topic 3
91,B0000AXNMO,Auto,rainx glass treatment ozits simple stuff works great applied correctly rain slide right,Topic 3
92,B0000AXNMO,Auto,works great not wipers muchwater rolls right,Topic 4
93,B0000AXNMO,Auto,definitely works described past vehicles last years great job clearing windshieldwindows rain mistingduring light rains roads wet mist kicked tires vehicle front great job keeping beading moving windows point dont really even need wipers moderate heavy rains great job keeping water beaded vision isnt reduced untreated windowsi docked one star though ive found thru multiple vehicles uses wiper blades doesnt seem last long applied ive also spoken multiple friends reported issue havent conjunction rainx wiper blades maybe isnt issue but def noticeable commons brands cheapest ones premium ones seems affect life allthat said apply side windows moonroof mirrors vehicles beading causes helps keep rain minimizes water spots well another plus especially spring pollen rampant not washed away constant april showers,Topic 1
94,B0000AXNMO,Auto,rainx makes terrible wipers but dont need put enough ontip dont put side windows unless want rainwater rushing car whenever crack open,Topic 4
95,B0000AXNMO,Auto,never but told many try wont disappointed applied paper towel wash say rains water seems fly windshield pushed air dryer application seems last well weeks wash try wont disappointed,Topic 3
96,B0000AXPDU,Auto,bought spare tire utility trailer inexpensive cheap flimsy loose fitting seems broken easily probably end getting cable lock device doesnt really give sense security suppose five bucks get pay,Topic 5
97,B0000AXPDU,Auto,master lock dat chrome lug nut style spare tire lock simple reasonable sturdy good value,Topic 5
98,B0000AXPDU,Auto,slowing amateur thief lug nuts require special tool secure grind away bit shell due interference wheel casting shape,Topic 4
99,B0000AXPDU,Auto,purchased lock spare tire trailer seems could broken without much effort but help deter theft,Topic 4
100,B0000AXPDU,Auto,works intended,Topic 1
101,B0000AXPDU,Auto,installed lock trailer nose mounted spare tire installing obviously works described ad description far satisfied item,Topic 5
102,B0000AXPDU,Auto,bought look winch jeep took one bolts put would thing really want im sure get makes little harder install two work twice hard price two,Topic 5
103,B0000AXRH5,Auto,smaller thought funnelyet useful thought would oil lawnmowers,Topic 2
104,B0000AXRH5,Auto,small funnel work abought tasksmall easy store zip lock bag keep clean,Topic 5
105,B0000AXRH5,Auto,inexpensive funnel pretty handy certain jobs mine fuel additives seafoam good but container difficult pour cartruck fuel tanks nice little funnel price,Topic 1
106,B0000AXRH5,Auto,absolutely one best four half bucks ever spent originally thought would pour gas lawn care devices but wife need funnel kitchen scrubbed thoroughly worked fine addition said looked one old time hearing aids amazingly right target holding small end ear could clearly hear tv telephone utter surprise sounds clearly amplified never would believed not experienced frequencies difficulty hearing matured wifes voice one handy aid want hear something not clearly elucidate convenience even loop wide end insert chain rope hang around neck uses item nearly endless order another one serve original purpoe bought one pouring gas oilthis truly multipurpose tool bargain price,Topic 1
107,B0000AXRH5,Auto,hard complain funnel good length width awkwardly located fills guard top spill prevention feels sturdy durable price fair whats not,Topic 1
108,B0000AXRH5,Auto,got change oil honda odyssey made job changing oil easy able get nearly quarts oil couple minutes spill also multi purpose good value money paid,Topic 2
109,B0000AXRH5,Auto,thing smaller skinnier thought although long awkward filling car engine oil long bottom funnel hits valve heads anything else unstable sit hold support one hand fill oil otherit good uses though right size fill motorcycle transmission oilall funnel solid no complaints quality but think next time purchase person really gauge size need,Topic 1
110,B0000AXRH5,Auto,ordered several funnels one auto trans oil one filling toyota van antifreeze via top hose faster filling via radiator cap one shampoo consolidation house,Topic 5
111,B0000AXRH5,Auto,works great refilling oil generator lawnmowerit even lip top oil wont go funnelthe problem funnels never know full chamber isand always need remove funnel look someone invent meter funnel helps overflowingand end valve case chamber full prevent overflowingbut funnel fine,Topic 1
112,B0000AXRH5,Auto,feels made great quality stuff sturdy not flimsy funnels recommended funnel conjunction item rhinogear piece funnel seti top transmission fluid vehicles comes handy,Topic 5
113,B0000AXRH5,Auto,stole hehehee,Topic 1
114,B0000AXRH5,Auto,simply plastic funnel uses allot biggest power equipment riding lawnmower oil cap near bottom difficult place fill funnel perfect also smaller engines pressure washer etc hope helps,Topic 1
